pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_mass,st_rad,st_met,pl_eqt_normalized,st_met_normalized,surface_gravity,surface_gravity_normalized,habitability_score,terraformability_score,st_activity,pl_atmos,pl_surf_temp,pl_escape_vel,pl_radiation_flux,ESI,pl_water_probability
KOI-142 b,3.438,9.5,10.91647,758,5466,0.99,0.9,0.27,-0.387271711,1.41985077,0.803733112,-0.181742165,43.73700325,52.05711374,0.6335,0.194257429,772.7247131,18.61773692,0.131825237,0.017219722,0
Kepler-831 b,1.27,2.15,5.62153941,992,5732,0.99,0.97,0.02,0.199159152,0.031851956,1.333002666,-0.151221141,44.79934794,50.01505216,0.567,0.072158275,999.1581008,14.57254457,0.288240192,0.009493522,0
Kepler-149 d,3.96,14.9,160.018032,306,5381,1.01,0.95,0.381,-1.520035599,2.036122244,0.950158147,-0.173298373,55.28667946,58.51651246,0.65475,0.667099918,326.4132575,21.72518903,0.023032606,0.317405021,0.866620634
Kepler-152 c,2.39,6.3,88.255055,326,5088,0.78,0.72,-0.12,-1.469913303,-0.745427379,1.102921868,-0.164489053,55.21001801,54.97664343,0.728,0.553859362,344.0558152,18.18399683,0.015724742,0.364595601,0.805361753
Kepler-803 b,3.79,13.8,50.28638192,543,5919,1.05,1.12,0.02,-0.926086392,0.031851956,0.960728483,-0.172688821,44.26673782,56.69196566,0.52025,0.430985504,566.4025129,21.37164546,0.101395573,0.05181581,0.033324608
Kepler-153 c,2.53,6.94,46.90232,458,5404,0.76,0.89,-0.27,-1.13910615,-1.578226668,1.084222531,-0.165567374,47.77207562,54.28163476,0.649,0.433021687,477.8323933,18.54972593,0.046601691,0.120999139,0.340859746
Kepler-5 b,15.984,670.93913,3.5484657,1750,6297,1.37,1.79,0.04,2.098794169,0.142891861,2.626105562,-0.076652665,42.97626087,82.96662172,0.42575,1,1925,72.56327037,1.942839587,6.42E-05,0
Kepler-1607 b,0.92,0.721,13.6473676,913,6116,1.14,1.21,0.05,0.001176083,0.198411814,0.8518431,-0.178967839,45.11635093,48.52382238,0.471,0.080572257,920.3562471,9.914977691,0.321833492,0.014958417,0
Kepler-626 b,2.29,5.86,14.48585199,784,5813,1.01,1.05,0.01,-0.322112726,-0.023667996,1.117446273,-0.163651484,44.18054781,52.25320549,0.54675,0.168385063,797.201389,17.9163315,0.190067142,0.018284081,0
Kepler-1613 b,2.08,4.98,1.5184299,1926,6005,1.08,1.12,0.01,2.539870373,-0.023667996,1.151072485,-0.161712384,49.19632174,55.36787118,0.49875,0.002046801,1926.394214,17.33009832,1.107766203,0.000359923,0
Kepler-554 b,4.29,17,1.90220856,1346,5447,0.93,0.92,0.14,1.08632379,0.698091387,0.923707217,-0.174823701,45.79160169,54.13051673,0.63825,0.033422317,1350.498644,22.29532653,0.435434582,0.001268967,0
Kepler-80 c,2.74,6.74,9.52355,495,4540,0.73,0.68,0.04,-1.046379903,0.142891861,0.89775694,-0.176320157,46.13946539,51.89246842,0.865,0.371293211,513.3790139,17.56599236,0.039228212,0.093057195,0.217433979
Kepler-260 b,2.01,4.7,8.187399,782,5250,1.01,0.86,0.29,-0.327124956,1.530890675,1.163337541,-0.161005103,43.71275238,50.55096983,0.6875,0.159560912,794.4776633,17.12651199,0.124096632,0.019885769,0
Kepler-257 c,5.41,25.2,6.581484,881,5180,0.92,1.04,0.4,-0.079019591,2.141610154,0.861005668,-0.178439468,44.10097739,55.58943871,0.705,0.244770933,902.5643192,24.17239378,0.19894194,0.006504936,0
Kepler-755 b,1.76,3.75,1.26909037,1331,5043,0.82,0.77,-0.01,1.048732069,-0.134707901,1.210614669,-0.158278806,44.74872737,49.42710645,0.73925,0.019817651,1333.637729,16.34847783,0.293516243,0.002233517,0
91 Aqr b,13.1,1017,181.4,912.5307146,4665,1.4,11,-0.03,0,-0.245747806,5.926228075,0.113653232,45.49383853,89.3364686,0.83375,1,1003.783786,98.68311533,1.60444053,0.001190618,0
CoRoT-9 b,11.949,266.9772,95.272656,420,5625,0.96,0.96,-0.01,-1.234338512,-0.134707901,1.869868441,-0.120262072,47.23196718,75.98700528,0.59375,0.999998017,461.9999167,52.9406573,0.039683525,0.037853719,0.395833622
YZ Cet c,1.05,1.14,3.05989,410.3,3151,0.14,0.16,-0.18,-1.258647826,-1.078547095,1.034013605,-0.168462738,51.36548572,48.19904202,1,0.388411122,426.2365083,11.67013282,0.001074285,0.292611758,0.520012124
HD 6860 b,11.9,8981.83078,663.87,912.5307146,3802,2.49,86.4,-0.03,0,-0.245747806,63.42652906,3.429483575,0.539622938,77.5050381,1,1,1003.783786,307.6996316,18.38980353,0.000594135,0
HD 81688 b,13.5,525.68819,183.93,912.5307146,4797,1.07,11.13,-0.32,0,-1.855826431,2.884434513,-0.061755787,43.90117516,81.63411132,0.80075,1,1003.783786,69.89003349,1.819661774,0.001449512,0
Kepler-205 c,1.64,3.33,20.306546,389,4321,0.59,0.55,-0.125,-1.312028071,-0.773187356,1.23810232,-0.156693694,51.75150436,51.65846257,0.91975,0.454620394,406.6847333,15.95946084,0.012711445,0.262230653,0.587900231
Kepler-1776 b,2.612,7.33,35.01190186,603,5872,1.04,1.15,0.1,-0.775719504,0.476011577,1.074379293,-0.166134998,44.08526367,54.05051502,0.532,0.307978678,621.5711143,18.76218542,0.131811282,0.04550844,0
Kepler-337 c,2.05,4.86,9.693201,1017,5684,1.08,1.76,0.07,0.261812022,0.309451719,1.156454491,-0.161402024,47.37219822,53.89076093,0.579,0.070839571,1024.204384,17.24484228,0.638096923,0.006723827,0
Kepler-347 b,1.97,4.54,12.79836,908,6088,0.92,1.01,-0.14,-0.011354491,-0.856467285,1.16983174,-0.160630607,44.38490331,51.66215431,0.478,0.106248178,917.6473345,17.00250206,0.229788501,0.011016317,0
Kepler-318 b,4.71,19.9,4.662715,1039,5746,1.07,1.19,0.332,0.316946548,1.764074476,0.89703887,-0.176361566,46.27471144,56.39026601,0.5635,0.120830568,1051.554296,23.02152597,0.496234566,0.003682879,0
Kepler-363 d,2.05,4.86,11.932125,905,5593,1.23,1.49,0.397,-0.018872835,2.124954168,1.156454491,-0.161402024,45.44893475,52.23893777,0.60175,0.106175729,914.6089034,17.24484228,0.373275771,0.010938822,0
Kepler-1070 b,1.73,3.64,6.2216147,1101,6261,1.21,1.32,0.03,0.472325665,0.087371909,1.216211701,-0.157956046,47.89264445,54.40105933,0.43475,0.050975645,1106.612419,16.2459706,0.71013969,0.00522781,0
Kepler-374 c,1.1,1.37,3.282807,1467,5977,1.03,0.91,0.111,1.389563681,0.537083525,1.132231405,-0.16279888,45.75307679,49.572348,0.50575,0.010550447,1468.547751,12.4991927,0.429281419,0.00185668,0
Kepler-357 d,3.43,11.6,49.499875,402,5036,0.79,0.83,0.06,-1.279448579,0.253931767,0.985983731,-0.171232444,49.92864752,55.97145998,0.741,0.534842218,423.5006572,20.59680974,0.029488512,0.152989405,0.529511607
Kepler-1129 b,2.96,9.06,24.3397804,737,5831,1,1,-0.04,-0.439900121,-0.301267759,1.034057706,-0.168460195,43.70893881,53.24151453,0.54225,0.218704371,753.1185122,19.59459385,0.123495437,0.019936496,0
Kepler-1093 b,1.95,4.46,25.0824626,776,6166,1.13,1.2,-0.01,-0.342161644,-0.134707901,1.172912558,-0.160452948,44.41781373,52.40769122,0.4585,0.167866169,789.0264147,16.9382347,0.217948043,0.020786854,0
Kepler-102 c,0.567,1.7,7.071392,777,4909,0.8,0.72,0.11,-0.33965553,0.531531529,5.287894765,0.076842904,43.32418603,53.38958831,0.77275,0.360964228,805.0469205,19.39326598,0.073314582,0.01873823,0
Kepler-106 b,0.82,5.3,6.16486,1021,5858,1,1.04,-0.12,0.271836481,-0.745427379,7.882212968,0.226447669,45.13372116,61.02289116,0.5355,0.36785357,1058.557849,28.4740361,0.339890103,0.005527405,0
Kepler-256 e,2.35,6.12,10.681572,897,5551,1.04,1.3,0.26,-0.038921754,1.364330818,1.108193753,-0.164185042,44.87574615,52.12393598,0.61225,0.113851268,907.2124588,18.07422992,0.296827875,0.010518627,0
Kepler-238 f,2,13.5,50.447,568,5800,1.06,0.96,0.34,-0.863433522,1.808490438,3.375,-0.033466684,43.6326899,61.84234646,0.55,0.580664056,600.9817184,29.09845357,0.068536311,0.046712724,0
Kepler-325 c,2.54,6.99,12.762172,721,5752,0.91,1,0.02,-0.479997958,0.031851956,1.083452167,-0.165611798,44.17302152,52.99820156,0.562,0.213851417,736.4186872,18.57974513,0.179838345,0.023810977,0
Kepler-783 b,0.78,0.399,4.29264638,991,5521,0.93,0.89,0.01,0.196653037,-0.023667996,0.65581854,-0.190271853,44.51342988,45.97285737,0.61975,0.05461651,996.4124961,8.010454707,0.249990848,0.009305346,0
