pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_mass,st_rad,st_met,pl_eqt_normalized,st_met_normalized,surface_gravity,surface_gravity_normalized,habitability_score,terraformability_score,st_activity,pl_atmos,pl_surf_temp,pl_escape_vel,pl_radiation_flux,ESI,pl_water_probability
OGLE-2016-BLG-1227L b,13.9,250,,912.5307146,5412.39249,0.1,,0.014262971,0,-3.37E-16,1.293928886,-0.153474382,42.57762261,73.50838605,0.646901878,0.999960083,1003.780144,47.49858006,0,0.001789494,0
Kepler-24 e,2.78,8.15,18.998355,792,5897,1.05,1.29,-0.071,-0.302063808,-0.473379612,1.054552042,-0.167278362,44.61863308,53.58155417,0.52575,0.178098413,806.1053943,19.1767245,0.253580848,0.015668199,0
Kepler-1065 b,3.73,13.4,3.60930891,1092,5635,0.94,0.93,-0.01,0.449770632,-0.134707901,0.963134932,-0.17255005,45.05372618,53.58747224,0.59125,0.075347341,1100.22793,21.22833859,0.332518179,0.003488742,0
HD 132406 b,12.8,1887.90074,908,912.5307146,5766,0.97,1.34,0.129,0,0.637019439,11.52283167,0.436388725,42.70709508,94.34488302,0.5585,1,1003.783786,136.0199517,0.018990691,0.000982135,0
TOI-1260 c,2.76,13.2,7.493134,651,4227,0.68,0.67,-0.1,-0.655425994,-0.634387474,1.732829238,-0.128164617,43.15451536,54.71815176,0.94325,0.355992381,674.175104,24.49347739,0.033578357,0.028753514,0
HD 149143 b,13.6,422.7139,4.07182,912.5307146,5856,1.2,1.44,0.29,0,1.530890675,2.285434148,-0.09629793,48.9545502,83.18826752,0.536,0.999999995,1003.783786,62.44128514,0.85801206,0.001544589,0
HD 99492 b,5.44,25.5,17.0503,912.5307146,4929,0.85,0.82,0.3,0,1.586410628,0.861672794,-0.178400997,43.01941785,53.96379545,0.76775,0.222670536,932.850085,24.24871131,0.053752435,0.005630631,0
nu Oph c,12,7838.32346,3180.6,912.5307146,4887,2.61,12.24,0.1,0,0.476011577,54.43280181,2.910848486,45.18151235,99.7200788,0.77825,1,1003.783786,286.2457125,0.354499809,0.000621078,0
75 Cet b,13.3,787.89662,696.62,912.5307146,4809,1.92,10.38,0.1,0,0.476011577,4.454161456,0.028764578,47.45267043,87.67388187,0.79775,1,1003.783786,86.20388143,0.657919925,0.001285091,0
gam Lib b,13.7,357.87479,414.88,912.5307146,4879,1.78,12.38,-0.27,0,-1.578226668,1.90673339,-0.118136206,47.01786914,79.7149921,0.78025,0.999999845,1003.783772,57.24311941,1.400789074,0.001619486,0
HD 113337 b,13.1,1035.80278,317.58639,912.5307146,6667.33,1.4,1.53,0.07,0,0.309451719,6.035795,0.119971553,43.22541969,89.58497748,0.3331675,1,1003.783786,99.59118754,0.08916052,0.001183778,0
HD 28109 c,4.23,7.943,56.00819,585.2,6120,1.26,1.45,0,-0.820328348,-0.079187949,0.443919096,-0.202491313,44.44382416,52.82969813,0.47,0.292251459,602.3025554,15.34758758,0.180771731,0.045199616,0
K2-350 b,1.54,2.99,4.163873,1158,5789,0.98,1.04,-0.02,0.615174208,-0.190227854,1.260752235,-0.155387557,45.72420882,51.18922405,0.55275,0.039360958,1162.557999,15.60605943,0.421087559,0.004446661,0
K2-342 b,2.03,4.78,11.561052,861,5920,1.01,1.09,-0.06,-0.129141887,-0.412307664,1.15994079,-0.161200982,44.60982872,51.98189492,0.52,0.125536087,871.8086571,17.18636187,0.256073578,0.013459944,0
EPIC 212587672 b,1.26,2.13,15.28078,756,6004,0.99,0.98,-0.18,-0.39228394,-1.078547095,1.34164777,-0.15072261,44.24704817,50.75858073,0.499,0.168708847,768.7543888,14.56205114,0.181833705,0.028616387,0
K2-332 b,2.2,5.48,17.70632,266,3315,0.27,0.28,0.09,-1.620280191,0.420491624,1.132231405,-0.16279888,59.69302015,53.73292184,1,0.591379097,281.730684,17.67652784,0.001250416,0.602045411,0.978231542
K2-340 b,3.36,11.2,29.740451,606,5532,0.93,1.13,0.08,-0.76820116,0.364971672,0.992063492,-0.170881846,43.84678,54.69541263,0.617,0.338545891,626.515881,20.44830881,0.111774754,0.038169663,0
GJ 486 b,1.289,2.77,1.46712127,696.3,3317,0.31,0.32,-0.15,-0.541898994,-0.911987237,1.66714715,-0.131952261,43.07252083,48.39598615,1,0.209729638,710.9034747,16.4184233,0.008613791,0.037045852,0
TOI-6002 b,1.65,3.36,10.904821,321.4,3229,0.21,0.24,-0.18,-1.481441431,-1.078547095,1.23415978,-0.156921046,56.57328132,51.9757321,1,0.518154,338.0534696,15.98253592,0.001142454,0.467275789,0.826203231
HIP 12961 b,13.2,114.4188,57.435,912.5307146,3901,0.69,0.65,-0.14,0,-0.856467285,0.656673554,-0.190222547,42.62691783,65.4630296,1,0.956387494,999.8040109,32.97461635,0.005897065,0.002283133,0
HD 11755 b,12.8,1789.3829,433.70001,912.5307146,4312,0.72,20.58,-0.74,0,-4.187664438,10.92152649,0.401713673,40.43565222,92.93155468,0.922,1,1003.783786,132.4233832,2.292816569,0.000999287,0
HD 29985 b,12.8,1739.47487,20608.14049,912.5307146,4678,0.75,0.57,-0.22,0,-1.300626905,10.61691205,0.384147681,42.56943705,93.37162438,0.8305,1,1003.783786,130.5636003,0.000185718,0.001008446,0
HD 115954 b,12.6,2685.65004,3700,144.9,5957,1.18,1.21,0.34,-1.923770693,1.808490438,16.91641497,0.747416787,48.23713241,96.67608691,0.51075,1,159.39,163.5149479,0.006914644,0.012013325,0.5534375
HIP 97233 b,12.1,6098.17365,1062.26506,912.5307146,5020,1.81,5.34,0.29,0,1.530890675,41.65134656,2.173789089,43.71236402,99.40978148,0.745,1,1003.783786,251.4347101,0.156062527,0.000674664,0
HD 95872 b,13,1188.6842,4375,912.5307146,5312,0.7,0.84,0.41,0,2.197130106,7.03363432,0.177513267,42.58344644,90.09760183,0.672,1,1003.783786,107.0975637,0.001884352,0.00113528,0
OGLE-2015-BLG-0966L b,4.86,21,,912.5307146,5412.39249,0.38,,0.014262971,0,-3.37E-16,0.88909211,-0.176819826,42.63079425,53.29038898,0.646901878,0.191115899,929.9706274,23.28142374,0,0.006138376,0
Teegarden's Star c,1.02,1.05,11.416,209,3034,0.1,0.12,-0.11,-1.763128735,-0.689907427,1.00922722,-0.169892077,55.79881912,50.48351978,1,0.584012741,221.2058663,11.3635123,0.000215926,0.451412106,0.768075925
TOI-1470 b,2.18,7.32,2.527093,734,3709,0.47,0.47,0,-0.447418466,-0.079187949,1.540274388,-0.139268545,42.97975783,50.61576416,1,0.216205473,749.8694817,20.52321129,0.020216164,0.022516154,0
HR 810 b,12.7,1970.53612,302.79999,912.5307146,6167,1.34,1.13,0.16,0,0.809131292,12.21734838,0.476438943,42.83734844,94.83186675,0.45825,1,1003.783786,139.5109712,0.036748416,0.000970168,0
HD 97658 b,2.12,8.3,9.4897116,751,5212,0.85,0.73,-0.23,-0.404814514,-1.356146858,1.846742613,-0.121595653,43.37754969,53.67533824,0.697,0.239690475,769.0007547,22.16098901,0.078713856,0.019844614,0
LTT 3780 b,1.325,2.46,0.76837931,903,3358,0.38,0.38,0.06,-0.023885065,0.253931767,1.401210395,-0.147287853,42.86651994,46.47686627,1,0.09546711,911.62068,15.26081182,0.019636438,0.013619766,0
HIP 41378 c,2.56,7.08,31.70648,696.5022874,6226,1.14,1.35,-0.11,-0.541392038,-0.689907427,1.080322266,-0.165792288,44.69681905,54.3694505,0.4435,0.23566183,712.9161877,18.62578857,0.245261002,0.026987215,0
HD 86728 b,3.03,9.43,31.1515,912.5307146,5610,0.97,1.24,0.2,0,1.031211102,1.027132416,-0.168859551,43.67461641,51.95572937,0.5975,0.122390698,923.6992418,19.75843555,0.138016822,0.00843346,0
HD 106315 c,4.35,15.2,21.05704,886,6327,1.07,1.29,-0.311,-0.066489017,-1.805858473,0.803276523,-0.181768495,44.96748718,55.29815966,0.41825,0.167051865,900.8007953,20.93607128,0.313758664,0.007775939,0
K2-174 b,2.6,7.27,19.562307,455,4455,0.67,0.68,0.113,-1.146624494,0.548187515,1.075443787,-0.166073612,47.72254342,52.94493831,0.88625,0.427730462,474.461736,18.72830848,0.022508772,0.122121318,0.352563417
TOI-2068 b,1.821,3.97,7.768915,520.62,3710,0.56,0.54,0.27,-0.982173241,1.41985077,1.19721077,-0.159051759,45.12026843,49.99761223,1,0.330745155,537.8392542,16.53706004,0.012635704,0.094791435,0.132502589
TOI-2180 b,11.321,875.61726,260.79,348,5695,1.11,1.64,0.253,-1.414778778,1.325466851,6.831950844,0.165882924,50.29792515,88.8289811,0.57625,1,382.8,98.4992184,0.062185887,0.049856095,0.670833333
TOI-1899 b,11.097,212.94503,29.090312,378,3926,0.63,0.61,0.28,-1.339595334,1.475370723,1.729244234,-0.128371351,48.85829139,72.78516443,1,0.99997174,415.7989318,49.06242202,0.008385297,0.058613287,0.556253709
HD 22946 d,2.607,26.57,47.42489,546,6169,1.1,1.12,-0.08,-0.918568048,-0.523347569,3.90939445,-0.002650127,43.97393061,67.89970064,0.45775,0.77656648,588.4005298,35.7555353,0.124407746,0.040915082,0
Qatar-3 b,12.285,1369.8473,2.5079204,1681,6007,1.15,1.27,-0.041,1.925872248,-0.306819754,9.076571569,0.295321925,49.84521557,94.04466031,0.49825,1,1849.1,118.2678008,1.020748274,6.62E-05,0
WASP-159 b,15.468,174.8065,3.840401,1850,6120,1.41,2.11,0.22,2.349405649,1.142251008,0.730616121,-0.185958552,40.48139735,67.592375,0.47,0.923119742,2020.777152,37.65127866,2.28494666,7.53E-05,0
WASP-7 b,14.908,305.1168,4.9546416,1487,6400,1.28,1.43,0,1.439685977,-0.079187949,1.372863481,-0.148922515,49.55895115,80.46529916,0.4,0.999976528,1635.69651,50.66889009,1.059108185,0.000180088,0
HD 219134 g,3.28,10.80622,94.2,912.5307146,4913,0.79,0.77,0.08,0,0.364971672,1.004444899,-0.170167856,42.76388379,50.48477522,0.77175,0.125337457,923.9681426,20.32909303,0.01497009,0.008035562,0
tau Cet e,1.81,3.93,162.87,912.5307146,5310,0.78,0.83,-0.52,0,-2.966225482,1.199597082,-0.158914149,42.81497671,48.75072144,0.6725,0.099012638,921.565922,16.50346021,0.01647644,0.011305998,0
Kepler-1465 b,1.77,3.78,31.8277111,668,4726,0.75,0.71,-0.06,-0.612822043,-0.412307664,1.206549842,-0.158513209,43.19887008,49.51165772,0.8185,0.220159857,682.7066785,16.3673093,0.022465244,0.039037095,0
K2-150 b,2,4.66,10.59357,912.5307146,3499,0.46,0.44,0.09,0,0.420491624,1.165,-0.160909236,42.72678876,47.28561698,1,0.09555471,921.2503754,17.09605803,0.005397708,0.010747571,0
NSVS 14256825 b,12.3,4497.2945,3225,912.5307146,40000,0.42,0.19,0.014262971,0,-3.37E-16,29.72631701,1.486116605,45.37150382,99.00204112,0,1,1003.783786,214.1613673,0.379854438,0.000744505,0
Kepler-1665 b,2.839,8.44,11.9548,906,5049.84,0.84,0.78,-0.013,-0.016366721,-0.151363887,1.047156666,-0.167704826,43.16536025,50.44702287,0.73754,0.117599526,916.6545171,19.31107941,0.067893467,0.009048586,0
KOI-4978 b,0.7,0.271,0.941967,912.5307146,5050.28,0.86,0.97,0.18,0,0.920171197,0.553061224,-0.196197488,46.93985774,47.45128946,0.73743,0.069258191,918.8507373,6.968730157,0.571484806,0.011991376,0
Kepler-1332 b,1.37,2.45,11.87456832,728,5581,0.95,0.9,0,-0.462455155,-0.079187949,1.305343918,-0.152816119,43.94457131,50.26344235,0.60475,0.182597579,741.2931037,14.97755011,0.13546,0.031900195,0
Kepler-1484 b,2.11,5.1,30.4549136,624,5730,0.94,0.92,-0.17,-0.723091094,-1.023027142,1.14552683,-0.162032181,43.73171715,52.38085049,0.5675,0.270745809,640.8945385,17.41253022,0.083941955,0.045520057,0
Kepler-1486 b,2.32,5.99,54.6495759,538,5965,1.08,1.12,0.06,-0.938616966,0.253931767,1.112886445,-0.163914432,44.83448831,54.11541164,0.50875,0.35425583,557.0589637,17.99647475,0.098941044,0.073300787,0.065767487
Kepler-1471 c,1.88,4.19,11.6044881,841,5533,0.93,1.17,0.16,-0.179264182,0.809131292,1.185491172,-0.159727585,44.40082535,51.08379403,0.61675,0.129859381,851.921174,16.7203787,0.22457096,0.015436827,0
Kepler-1537 b,1.18,1.76,1.4444538,1800,5079,0.81,0.77,-0.08,2.224099909,-0.523347569,1.264004596,-0.155200006,44.60708737,47.80258453,0.73025,0.002846403,1800.512353,13.67833868,0.277022502,0.000668701,0
Kepler-148 b,1.8,3.89,1.729366,1284,5272,0.86,0.85,0.14,0.930944673,0.698091387,1.200617284,-0.158855318,45.15448428,50.23141098,0.682,0.024180884,1287.104826,16.46480421,0.347566596,0.002598376,0
Kepler-148 c,3.6,12.6,4.180043,957,5272,0.86,0.85,0.14,0.111445134,0.698091387,0.972222222,-0.172026019,44.05347061,52.47241911,0.682,0.116836654,968.1812678,20.95328137,0.192978447,0.006228401,0
Kepler-1480 b,1.67,3.43,22.12679948,721,5156,0.85,0.81,0.07,-0.479997958,0.309451719,1.229875578,-0.1571681,43.31200514,49.71136043,0.711,0.187591384,734.5253388,16.05117564,0.052783614,0.03006462,0
Kepler-1481 b,1.23,2.04,5.94220998,797,4908,0.8,0.75,0.04,-0.289533234,0.142891861,1.348403728,-0.150333019,43.50139483,48.265886,0.773,0.139905042,808.1504318,14.42382852,0.089261723,0.023597071,0
42 Dra b,13,1233.13,479.1,912.5307146,4200,0.98,22.03,-0.46,0,-2.633105766,7.296627219,0.192679098,41.01575331,89.3571516,0.95,1,1003.783786,109.0814189,2.21291751,0.00112214,0
61 Vir c,4.46,18.2,38.021,912.5307146,5577,0.94,0.96,-0.01,0,-0.134707901,0.914959078,-0.175328174,43.15541141,53.46713203,0.60575,0.172675179,928.2878551,22.62488015,0.070743391,0.006527547,0
LTT 1445 A b,1.18,2.73,5.35876,555,3340,0.26,0.27,-0.34,-0.896013015,-1.966866336,1.960643493,-0.115027409,43.70177651,50.2541202,1,0.337309546,573.7206798,17.03563563,0.002658033,0.085525282,0.007914306
TOI-5301 b,13.092,1182.32167,5.858858,1648,6418,1.32,2.18,0.03,1.843170459,0.087371909,6.898007406,0.169692163,40.90813746,89.86023063,0.3955,1,1812.8,106.4346041,2.226006219,7.53E-05,0
TOI-669 b,2.586,10,3.945152,1124.845606,5597,0.92,0.99,0.001,0.532085491,-0.073635954,1.495350358,-0.141859149,45.15167649,53.91673959,0.60075,0.065931878,1132.261924,22.02438359,0.345625391,0.003536344,0
70 Vir b,12.6,2380.45,116.688,912.5307146,5495,1.09,1.89,-0.09,0,-0.578867522,14.99401612,0.636559134,43.46674751,96.04690129,0.62625,1,1003.783786,153.9438281,0.122367695,0.000913815,0
HIP 19976 b,4.94,21.61233,50.65905,912.5307146,4316,0.67,0.77,0.014262971,0,-3.37E-16,0.885620564,-0.177020017,42.72906685,52.04870925,0.921,0.187243722,929.6172794,23.42638861,0.013482146,0.006083095,0
K2-151 b,1.49,2.83,3.835476,566,3695,0.47,0.45,-0.19,-0.868445752,-1.134067047,1.274717355,-0.15458224,43.61659945,48.88330966,1,0.284940617,582.1276389,15.43540774,0.013821647,0.078233013,0
EPIC 220492298 b,0.99,0.937,0.762406,912.5307146,5620,0.95,0.89,0.28,0,1.475370723,0.956024895,-0.172960059,49.06926523,52.36744462,0.595,0.08200096,920.0135541,10.89607843,0.849488665,0.015839417,0
K2-290 b,3.06,10.9,9.21165,1230,6302,1.19,1.51,-0.06,0.795614474,-0.412307664,1.164082191,-0.160962162,48.0365498,56.95215341,0.4245,0.043493531,1235.349704,21.13832439,0.7342868,0.002271089,0
K2-138 g,3.013,4.32,41.96797,445,5356.3,0.94,0.86,0.14,-1.171685642,0.698091387,0.475866885,-0.200649001,48.62818649,50.86146231,0.660925,0.369718431,461.4524702,13.4109743,0.045227337,0.144903385,0.397734478
K2-140 b,13.563,295.58042,6.569188,962,5585,0.96,1.06,0.1,0.123975708,0.476011577,1.606808566,-0.135431765,44.63501126,77.00935213,0.60375,0.999995504,1058.199567,52.28510358,0.27963176,0.001363214,0
K2-141 c,7,8,7.7485,695,4570,0.71,0.68,0,-0.545156943,-0.079187949,0.163265306,-0.218675582,43.15091422,46.86296039,0.8575,0.185047028,707.8607685,11.97330364,0.046212633,0.020879351,0
K2-141 b,1.51,4.97,0.2803244,2103,4570,0.71,0.68,0,2.983452693,-0.079187949,2.179728959,-0.102393558,45.68239529,51.55614492,0.8575,0.001278126,2103.26879,20.31925326,0.422472594,0.000245671,0
TOI-3364 b,12.229,530.77344,5.8768918,1264,5706,1.19,1.42,0.387,0.880822377,2.069434215,3.54917401,-0.023422711,46.92478987,85.03941102,0.5735,1,1390.4,73.78653925,0.588882269,0.000342915,0
KMT-2016-BLG-2605L b,14,245.0457,,912.5307146,5412.39249,0.06,,0.014262971,0,-3.37E-16,1.250233163,-0.155994153,42.57770768,73.25776973,0.646901878,0.999948189,1003.779058,46.85733104,0,0.001796453,0
24 Sex b,13.4,632.46,452.8,912.5307146,5098,1.54,4.9,-0.03,0,-0.245747806,3.522276676,-0.024973781,44.39156898,84.12869031,0.7255,1,1003.783786,76.94531029,0.246761304,0.001372691,0
24 Sex c,13.9,273.32,883,912.5307146,5098,1.54,4.9,-0.03,0,-0.245747806,1.414626572,-0.146514192,43.74050343,74.94369951,0.7255,0.999987813,1003.782674,49.66452985,0.15809114,0.001744656,0
DENIS-P J082303.1-491201 b,11.9,9057.77,246.36,912.5307146,5412.39249,0.07,,0.014262971,0,-3.37E-16,63.96278511,3.460407484,42.56298992,99.80743665,0.646901878,1,1003.783786,308.9976569,0,0.000592448,0
HIP 63242 b,12.5,2917.56,124.6,912.5307146,4830,1.54,10.28,-0.31,0,-1.800306478,18.672384,0.848677047,42.06470793,96.90257418,0.7925,1,1003.783786,171.1090241,2.068485944,0.000856294,0
GJ 504 b,13,1271.3,,510,6234,1.22,1.26,0.28,-1.008788181,1.475370723,7.522485207,0.205703495,43.20759226,91.10753197,0.4415,1,561,110.7567925,0,0.011560486,0.052083333
2MASS J01225093-2439505 b,11.209,7786.5,,1600,3530,0.4,0.37,0.014262971,1.722876949,-3.37E-16,61.97386041,3.34571353,42.55633726,99.72785237,1,1,1760,295.1927807,0,4.82E-05,0
RR Cae b,13,1334.886,4343.5,912.5307146,3904,0.44,0.19,0.014262971,0,-3.37E-16,7.898733728,0.22740036,42.56933047,90.63503409,1,1,1003.783786,113.4928327,2.83E-05,0.0010942,0
HAT-P-44 b,13.922,111.871,4.301219,1108,5295,0.94,0.95,0.33,0.489868469,1.752970486,0.57718397,-0.194806419,44.34156921,67.32483742,0.67625,0.90198304,1207.939721,31.74870153,0.24066146,0.000981185,0
K2-288 B b,1.9,4.27,31.393463,226.36,3341,0.33,0.32,-0.21,-1.719622582,-1.245106953,1.182825485,-0.159881306,55.93376606,53.62775536,1,0.618434237,240.3588774,16.79017256,0.001150278,0.408595131,0.834579435
K2-243 c,2.01,4.7,24.94598,801,6570,1.29,1.39,-0.03,-0.279508774,-0.245747806,1.163337541,-0.161005103,45.57428218,54.08177887,0.3575,0.15822446,813.6737793,17.12651199,0.378309472,0.018027864,0
EPIC 206024342 c,1.4,2.54,0.911724,912.5307146,5724,0.93,1.1,-0.22,0,-1.300626905,1.295918367,-0.153359656,48.36518361,54.10837238,0.569,0.09725117,921.4051826,15.08588744,1.239456994,0.01284225,0
HATS-43 b,13.227,82.95363,4.3888497,1003,5099,0.84,0.81,0.05,0.226726415,0.198411814,0.474146652,-0.200748201,43.66966736,63.19206964,0.72525,0.760035746,1079.231585,28.0482031,0.14844519,0.001774071,0
HATS-45 b,14.415,222.481,4.1876244,1518,6450,1.27,1.32,0.02,1.517375536,0.031851956,1.070689724,-0.166347761,49.69150706,78.40078486,0.3875,0.998195664,1669.526102,44.00045457,1.041433211,0.000180178,0
TOI-4602.01,2.55,7.04,3.9812091,1380.26675,6011.9,1.11,1.16,0.014262971,1.1722002,-3.37E-16,1.082660515,-0.16565745,47.23093483,54.26030764,0.497025,0.019385124,1382.942414,18.60948103,0.627831105,0.001549226,0
WASP-107 c,13.2,115,1088,912.5307146,4425,0.68,0.66,0.02,0,0.031851956,0.660009183,-0.190030194,42.59398748,65.972731,0.89375,0.958478266,999.9948004,33.05825895,0.001416484,0.002278227,0
Kepler-1972 c,0.868,2.11,11.3295,1215,5818,1.12,1.38,0.23,0.758022752,1.19777096,2.800547899,-0.066593219,45.46996011,52.00411759,0.5455,0.047270904,1220.743415,17.46221728,0.388092927,0.003744544,0
HR 858 b,2.004,3.55,3.585287,1552,6354,1.2,1.26,0.025,1.602583439,0.059611933,0.883960622,-0.17711574,49.94718597,55.4075117,0.4115,0.007942036,1553.232604,14.90676279,0.991144932,0.001087917,0
WASP-127 b,14.695,52.3466,4.17806203,1400,5620,0.95,1.33,-0.193,1.22165399,-1.150723033,0.242409311,-0.214111639,47.08768951,56.11920987,0.595,0.118266719,1416.557341,21.13866065,0.610316538,0.000561224,0
WASP-136 b,15.468,479.9233,5.215357,1742,6250,1.41,2.39,-0.18,2.07874525,-1.078547095,2.00587335,-0.11241917,38.22425219,76.49733223,0.4375,0.999999991,1916.199998,62.38595944,2.600257513,7.32E-05,0
LHS 1140 c,1.272,1.91,3.77794,422,3096,0.18,0.22,-0.15,-1.229326283,-0.911987237,1.180481389,-0.160016481,50.22586574,49.33591862,1,0.396910312,438.7496151,13.72432995,0.001644759,0.235831457,0.476563836
TOI-178 e,2.207,3.86,9.961881,600,4316,0.65,0.65,-0.23,-0.783237849,-1.356146858,0.79246965,-0.182391687,43.45241155,48.55846637,0.921,0.2435233,614.611398,14.81189103,0.028410666,0.05612119,0
TOI-2285 b,1.74,19.5,27.26955,284,3491,0.45,0.46,-0.05,-1.575170125,-0.356787712,6.440745145,0.143323534,56.60808037,67.1716575,1,0.930294601,310.4203667,37.49390755,0.003112334,0.392168391,0.922151505
TOI-6029 b,14.392,519.64945,5.7987,1484,6223,1.55,2.34,0.37,1.432167633,1.975050296,2.508812306,-0.083416535,40.49919668,79.77606199,0.44425,1,1632.4,67.29963107,2.282620298,0.000156829,0
CoRoT-8 b,6.39,69.92,6.21229,870,5080,0.89,0.8,0.3,-0.106586853,1.586410628,1.712378251,-0.12934395,43.43756926,67.48711168,0.73,0.8027725,939.8412075,37.04830159,0.113159284,0.004063871,0
K2-261 b,9.27,68.96876,11.6334681,1036,5537,1.1,1.67,0.372,0.309428203,1.986154286,0.802588531,-0.181808169,45.96802523,65.24082669,0.61575,0.608750864,1099.066589,30.54951814,0.458087123,0.001887835,0
K2-266 c,0.705,0.29013,7.814,664.5,4285,0.69,0.7,-0.12,-0.621593444,-0.745427379,0.583733213,-0.194428748,43.35712447,43.80382813,0.92875,0.163266261,675.349043,7.18488437,0.037639192,0.042826126,0
K2-114 b,10.592,638.8351,11.390931,701.4,5039,0.83,0.87,0.42,-0.529117808,2.252650059,5.694201425,0.100273111,43.24459749,86.02672141,0.74025,1,771.54,86.98080477,0.086483444,0.004352857,0
K2-308 b,9.916,70.6,3.38628,1213.760165,6100,1.09,1.24,-0.1,0.754915583,-0.634387474,0.718011938,-0.186685389,48.86509629,66.45854358,0.475,0.453971419,1268.861408,29.88492114,0.847040124,0.000968032,0
TOI-1410 c,5.63,27,47.56,912.5307146,4635,0.79,0.76,0.328,0,1.741866495,0.851818317,-0.178969268,42.75653222,53.59713332,0.84125,0.232753645,933.7701997,24.52707208,0.018220268,0.005484736,0
TOI-1249 b,3.271,11.9,13.079151,726.887776,5497,1.01,0.98,0.297,-0.465242516,1.569754642,1.112207638,-0.163953576,43.83397482,54.26434251,0.62575,0.25274247,745.2593172,21.36245846,0.141728953,0.019156944,0
2MASS J19383260+4603591 b,13.4,603.877,406,912.5307146,29564,0.48,0.2,-0.092,0,-0.589971512,3.363093117,-0.03415331,46.27445183,86.45650699,0,1,1003.783786,75.1864999,0.500017564,0.001392195,0
HD 134606 e,1.33,2.34,4.3203,912.5307146,5576,1.05,1.16,0.343,0,1.825146424,1.322856012,-0.151806261,45.97282463,51.40281203,0.606,0.096436114,921.3308063,14.8559398,0.43996786,0.013145855,0
TOI-3807 b,18.495,330.54154,2.8989727,1646,5772,1.18,1.47,0.278,1.83815823,1.464266732,0.966312005,-0.17236684,49.56297841,78.88529366,0.557,0.999985503,1810.597614,47.3482441,1.058441985,0.000102574,0
TOI-2525 b,8.676,26.69759,23.2856,512.9721403,5096,0.85,0.79,0.14,-1.001339656,0.698091387,0.354676956,-0.207637578,44.5794323,56.08135773,0.726,0.565666995,541.9892812,19.64691113,0.0463095,0.042383702,0.118092773
HATS-11 b,18.03,263.7989,3.619188,1596,6563,1.33,1.54,0.03,1.71285249,0.087371909,0.811486925,-0.181295031,44.95863587,74.69460376,0.35925,0.999663825,1755.546346,42.84070898,1.674686347,0.000127582,0
HATS-36 b,12.92,1022.14128,4.175186,1203,5950,1.1,1.1,0.15,0.727949374,0.75361134,6.123305121,0.125017939,46.44603149,90.44180484,0.5125,1,1323.3,99.61901192,0.524758157,0.000347352,0
HATS-9 b,13.85,266.02371,1.915291,1746,5599,1.1,1.56,0.38,2.08876971,2.030570248,1.386822245,-0.148117565,47.06962843,77.62638088,0.60025,0.999516116,1920.515514,49.08551014,1.391311596,8.83E-05,0
HD 188641 b,11.9,9333.03117,14583.81038,912.5307146,5897.32,1.07,1.94,-0.08,0,-0.523347569,65.90658266,3.572499121,42.61310612,99.82908899,0.52567,1,1003.783786,313.6576614,0.006842236,0.000586486,0
WASP-36 b,14.874,750.39663,1.53736596,1733,5959,1.08,0.99,-0.26,2.056190217,-1.522706715,3.391839712,-0.0324956,48.74414202,87.42099618,0.51025,1,1906.3,79.55171955,0.832406776,6.62E-05,0
K2-3 b,2.078,5.11,10.0546535,501.3,3951,0.53,0.55,-0.157,-1.030591379,-0.950851204,1.183395228,-0.159848451,45.83015891,50.88999193,1,0.360157312,519.3546861,17.56328308,0.014197066,0.099769766,0.196685118
K2-348 c,2.67,7.61,12.550171,655,5077,0.83,0.85,0.13,-0.645401535,0.642571435,1.067485867,-0.166532516,43.54989872,52.14859681,0.73075,0.260108589,672.0371126,18.90839736,0.079748635,0.033251405,0
K2-43 b,4.51,18.5,3.471149,939.3,3840.6,0.56,0.56,0.014262971,0.067086902,-3.37E-16,0.909533385,-0.175641053,42.8225425,50.9095208,1,0.149396788,953.3328403,22.68378989,0.026702179,0.005788566,0
K2-77 b,2.5,603.877,8.2000844,806,4970,0.85,0.78,0.13,-0.2669782,0.642571435,96.62032,5.343647106,43.19557948,97.21981512,0.7575,1,886.6,174.069332,0.081901602,0.003107068,0
Kepler-105 b,2.53,10.8,5.4122034,1418,6082,0.99,1.03,-0.09,1.266764056,-0.578867522,1.687262729,-0.13079227,45.69498486,55.12449462,0.4795,0.02408653,1421.41547,23.14033489,0.422506981,0.001239749,0
Kepler-25 c,5.217,15.2,12.7207,934,6354,1.17,1.34,0.11,0.053804494,0.531531529,0.558472657,-0.195885431,46.19684242,55.26398161,0.4115,0.133454017,946.4646051,19.11742514,0.481889668,0.006024786,0
NGTS-33 b,18.383,1153.71712,2.827972,1991,7437,1.6,1.48,-0.11,2.702767835,-0.689907427,3.414023945,-0.031216317,35.39199839,83.81515616,0.14075,1,2190.1,88.72775593,3.006221685,2.80E-05,0
HATS-15 b,12.386,689.6911,1.74748753,1505,5311,0.87,0.92,0,1.484796043,-0.079187949,4.495649769,0.031157056,45.63623476,86.55296242,0.67225,1,1655.5,83.5756563,0.416448517,0.000139232,0
GJ 3341 b,2.46,6.6,14.207,912.5307146,3526,0.47,0.44,-0.09,0,-0.578867522,1.090620662,-0.165198418,42.70655578,47.9856094,1,0.102207248,921.8574399,18.34519941,0.004577091,0.009586214,0
